Reference, Value, Footprint, Datasheet, manf#, Digikey, Field10, Field11, Field4, Field5, Field6, Field7, Field8, Field9
"U81","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U82","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U83","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U84","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U85","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U86","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U87","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U88","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U89","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U90","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U91","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U92","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U93","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U94","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U95","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U96","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C11","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C12","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U97","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U98","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U99","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U100","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U101","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U102","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U103","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U104","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U105","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U106","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U107","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U108","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U109","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U110","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U111","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U112","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C14","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"C13","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U113","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C15","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U114","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U115","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U116","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U117","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U118","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U119","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U120","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U121","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"C16","100nF","ClockIOT_libs:c_0805","","Value","","","","","","","","",""
"U122","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U123","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U124","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U125","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U126","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U127","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"U128","APA102","ClockIOT_libs:APA102","","mfr_pn","","","","","","","","",""
"HB1","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB2","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB3","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB4","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB5","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB6","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB7","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB8","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB9","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB10","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB11","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB12","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB13","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB14","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB15","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB16","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB17","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB18","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB19","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB20","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB21","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB22","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB23","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB24","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB25","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB26","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB27","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB28","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB29","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB30","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB31","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB32","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB33","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB34","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB35","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB36","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB37","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB38","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB39","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB40","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB41","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB42","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB43","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
"HB44","hole_baffle","ClockIOT_libs:hole_baffle_2mm","","Value","","","","","","","","",""
